RegisterNumber,Title,Category,Priority,Status,CreatedDate,Response
KCE26ECE001,"Fee receipt required",Accounts,Medium,resolved,2025-08-01,"Your request has been processed successfully."
KCE26ECE002,"WiFi issue",Other,Medium,pending,2025-10-15,""
KCE26ECE002,"Bus route change request",Transport,Medium,open,2025-09-06,""
KCE26ECE003,"Subject registration",Academic,Low,in-progress,2025-03-02,""
KCE26ECE003,"ID card replacement",Other,Low,in-progress,2025-01-03,""
KCE26ECE003,"Bus pass renewal",Transport,Low,resolved,2025-01-05,"Your application is approved. You may collect the document from the office."
KCE26ECE004,"Fee receipt required",Accounts,Medium,closed,2025-08-02,"The maintenance team has fixed the issue."
KCE26ECE004,"Food quality complaint",Hostel,Low,closed,2025-11-17,"Your payment is confirmed and receipt is available in the dashboard."
KCE26ECE004,"Fee payment issue",Accounts,High,closed,2025-01-15,"We have updated the records. Please check the portal."
KCE26ECE004,"Exam timetable issue",Academic,Medium,open,2025-09-01,""
KCE26ECE005,"Fee receipt required",Accounts,High,open,2025-09-06,""
KCE26ECE005,"Food quality complaint",Hostel,Low,resolved,2025-07-15,"Your payment is confirmed and receipt is available in the dashboard."
KCE26ECE006,"Scholarship enquiry",Accounts,High,in-progress,2025-10-31,""
KCE26ECE006,"Hostel maintenance",Hostel,Medium,pending,2025-06-15,""
KCE26ECE006,"Fee receipt required",Accounts,High,resolved,2025-07-24,"This issue has been escalated to the respective department head."
KCE26ECE006,"Scholarship enquiry",Accounts,High,resolved,2025-05-13,"Your request has been processed successfully."
KCE26ECE008,"Semester mark revaluation",Academic,High,open,2025-05-01,""
KCE26ECE008,"Bus route change request",Transport,Critical,in-progress,2025-06-12,""
KCE26ECE008,"Transport fee",Transport,High,open,2025-04-12,""
KCE26ECE009,"Internal mark clarification",Academic,Medium,closed,2025-11-20,"This issue has been escalated to the respective department head."
KCE26ECE009,"ID card replacement",Other,High,closed,2025-11-05,"The maintenance team has fixed the issue."
KCE26ECE009,"Book renewal issue",Library,Medium,resolved,2025-09-05,"The maintenance team has fixed the issue."
KCE26ECE009,"ID card replacement",Other,Critical,in-progress,2025-12-24,""
KCE26ECE010,"Fee payment issue",Accounts,Medium,closed,2025-10-24,"The maintenance team has fixed the issue."
KCE26CSE004,"Request new journals",Library,High,in-progress,2025-02-01,""
KCE26CSE004,"ERP login issue",Other,Medium,resolved,2025-08-03,"Your payment is confirmed and receipt is available in the dashboard."
KCE26CSE004,"Fee payment issue",Accounts,Medium,closed,2025-12-27,"Your payment is confirmed and receipt is available in the dashboard."
KCE26CSE005,"Request new journals",Library,High,open,2025-08-25,""
KCE26CSE005,"Transport fee",Transport,Critical,open,2025-01-21,""
KCE26CSE006,"Transport fee",Transport,Medium,resolved,2025-12-15,"The maintenance team has fixed the issue."
KCE26CSE006,"Book renewal issue",Library,Medium,resolved,2025-12-13,"Your request has been processed successfully."
KCE26CSE008,"Bus route change request",Transport,Medium,open,2025-03-23,""
KCE26CSE008,"Bus route change request",Transport,High,open,2025-12-27,""
KCE26CSE008,"Food quality complaint",Hostel,Low,pending,2025-07-11,""
KCE26CSE008,"Fee payment issue",Accounts,Critical,resolved,2025-10-02,"This issue has been escalated to the respective department head."
KCE26CSE009,"Book renewal issue",Library,High,open,2025-04-07,""
KCE26CSE009,"Scholarship enquiry",Accounts,Low,resolved,2025-10-17,"Your application is approved. You may collect the document from the office."
KCE26CSE009,"Hostel maintenance",Hostel,High,closed,2025-06-09,"Your payment is confirmed and receipt is available in the dashboard."
KCE26CSE010,"Bus route change request",Transport,Medium,open,2025-02-10,""
KCE26CSE010,"Book renewal issue",Library,Low,pending,2025-11-04,""
KCE26EEE001,"Hostel fee structure",Hostel,Medium,in-progress,2025-09-02,""
KCE26EEE002,"Project approval pending",Academic,Medium,closed,2025-10-05,"We have updated the records. Please check the portal."
KCE26EEE002,"WiFi issue",Other,Critical,resolved,2025-06-11,"Your request has been processed successfully."
KCE26EEE002,"Bonafide certificate request",Other,High,resolved,2025-02-01,"This issue has been escalated to the respective department head."
KCE26EEE003,"Fee receipt required",Accounts,Low,open,2025-08-02,""
KCE26EEE003,"ID card replacement",Other,Low,in-progress,2025-02-02,""
KCE26EEE004,"ERP login issue",Other,High,pending,2025-01-18,""
KCE26EEE004,"Subject registration",Academic,Medium,open,2025-07-20,""
KCE26EEE005,"Bus route change request",Transport,Low,closed,2025-05-15,"Your application is approved. You may collect the document from the office."
KCE26EEE007,"Hostel maintenance",Hostel,Low,pending,2025-08-13,""
KCE26EEE009,"Request new journals",Library,Medium,closed,2025-07-10,"Your payment is confirmed and receipt is available in the dashboard."
KCE26EEE009,"Transport fee",Transport,Medium,resolved,2025-05-09,"The maintenance team has fixed the issue."
KCE26EEE009,"Book renewal issue",Library,Medium,open,2025-07-31,""
KCE26EEE010,"Subject registration",Academic,Critical,open,2025-12-21,""
KCE26EEE010,"Hostel maintenance",Hostel,Critical,in-progress,2025-05-23,""
KCE26EEE010,"Project approval pending",Academic,High,resolved,2024-12-31,"Your request has been processed successfully."
KCE26MECH001,"Project approval pending",Academic,Medium,resolved,2025-01-09,"Your request has been processed successfully."
KCE26MECH001,"Fee payment issue",Accounts,High,in-progress,2025-05-10,""
KCE26MECH001,"Bonafide certificate request",Other,Medium,closed,2025-08-14,"Your request has been processed successfully."
KCE26MECH001,"Fee receipt required",Accounts,High,in-progress,2025-06-13,""
KCE26MECH004,"ERP login issue",Other,Medium,open,2025-01-15,""
KCE26MECH004,"Request new journals",Library,Medium,open,2025-06-15,""
KCE26MECH004,"Transport fee",Transport,High,open,2025-02-18,""
KCE26MECH004,"Semester mark revaluation",Academic,Medium,in-progress,2025-01-11,""
KCE26MECH006,"Bus route change request",Transport,Medium,closed,2025-11-16,"Your request has been processed successfully."
KCE26MECH008,"Semester mark revaluation",Academic,Low,in-progress,2025-05-05,""
KCE26MECH008,"Bus route change request",Transport,Medium,resolved,2025-04-20,"We have updated the records. Please check the portal."
KCE26MECH008,"ID card replacement",Other,Medium,open,2025-01-08,""
KCE26MECH009,"Book renewal issue",Library,High,open,2025-09-21,""
KCE26MECH009,"Transport fee",Transport,Medium,open,2025-09-17,""
KCE26MECH009,"Transport fee",Transport,Low,pending,2025-05-27,""
KCE26MECH010,"Subject registration",Academic,Medium,open,2025-11-24,""
KCE26MECH010,"WiFi issue",Other,Medium,resolved,2025-03-25,"We have updated the records. Please check the portal."
KCE26CIVIL001,"Book renewal issue",Library,Medium,resolved,2025-07-24,"Your payment is confirmed and receipt is available in the dashboard."
KCE26CIVIL001,"Exam timetable issue",Academic,Medium,open,2025-07-09,""
KCE26CIVIL001,"ID card replacement",Other,Low,closed,2025-02-06,"Your request has been processed successfully."
KCE26CIVIL001,"Food quality complaint",Hostel,Low,open,2025-02-09,""
KCE26CIVIL002,"Fee payment issue",Accounts,High,in-progress,2025-12-21,""
KCE26CIVIL002,"WiFi issue",Other,High,open,2025-05-15,""
KCE26CIVIL003,"Exam timetable issue",Academic,Medium,closed,2025-02-27,"Your application is approved. You may collect the document from the office."
KCE26CIVIL003,"Fee receipt required",Accounts,High,closed,2025-01-22,"The maintenance team has fixed the issue."
KCE26CIVIL003,"Fee receipt required",Accounts,Medium,in-progress,2025-04-07,""
KCE26CIVIL004,"Hostel maintenance",Hostel,High,open,2025-02-04,""
KCE26CIVIL004,"Fee receipt required",Accounts,High,in-progress,2025-12-15,""
KCE26CIVIL004,"Food quality complaint",Hostel,High,open,2025-09-15,""
KCE26CIVIL005,"Request new journals",Library,Medium,pending,2025-04-21,""
KCE26CIVIL005,"Subject registration",Academic,Low,pending,2025-12-01,""
KCE26CIVIL005,"Bonafide certificate request",Other,High,open,2025-08-16,""
KCE26CIVIL006,"Bus pass renewal",Transport,High,open,2025-07-18,""
KCE26CIVIL007,"Book renewal issue",Library,Low,closed,2025-01-05,"Your request has been processed successfully."
KCE26CIVIL007,"Hostel fee structure",Hostel,High,closed,2025-01-07,"Your payment is confirmed and receipt is available in the dashboard."
KCE26CIVIL007,"Fee payment issue",Accounts,Medium,resolved,2025-04-30,"Your application is approved. You may collect the document from the office."
KCE26CIVIL010,"Bus pass renewal",Transport,High,closed,2025-08-24,"We have updated the records. Please check the portal."
KCE26CIVIL010,"Scholarship enquiry",Accounts,Medium,open,2025-02-02,""
KCE26AIDS001,"Book renewal issue",Library,Medium,closed,2025-07-05,"Your request has been processed successfully."
KCE26AIDS004,"Semester mark revaluation",Academic,Critical,in-progress,2025-12-17,""
KCE26AIDS004,"ID card replacement",Other,Critical,open,2025-11-02,""
KCE26AIDS005,"Subject registration",Academic,Low,pending,2025-05-24,""
KCE26AIDS005,"Hostel maintenance",Hostel,Medium,in-progress,2025-12-22,""
KCE26AIDS006,"Hostel maintenance",Hostel,High,closed,2025-11-22,"This issue has been escalated to the respective department head."
KCE26AIDS006,"Fee receipt required",Accounts,Low,closed,2025-10-12,"Your request has been processed successfully."
KCE26AIDS006,"Bus pass renewal",Transport,Medium,resolved,2025-04-01,"Your request has been processed successfully."
KCE26AIDS007,"Internal mark clarification",Academic,Medium,resolved,2025-05-26,"The maintenance team has fixed the issue."
KCE26AIDS007,"Internal mark clarification",Academic,Low,open,2025-09-06,""
KCE26AIDS008,"Food quality complaint",Hostel,High,closed,2025-10-25,"Your payment is confirmed and receipt is available in the dashboard."
KCE26AIDS008,"Exam timetable issue",Academic,Medium,resolved,2025-02-07,"Your payment is confirmed and receipt is available in the dashboard."
KCE26AIDS010,"WiFi issue",Other,Low,closed,2025-11-27,"This issue has been escalated to the respective department head."
KCE26AIDS010,"Fee payment issue",Accounts,High,pending,2025-10-11,""
KCE26AIDS010,"Transport fee",Transport,Low,closed,2025-07-22,"Your request has been processed successfully."
KCE26AIDS010,"Hostel fee structure",Hostel,Medium,pending,2025-05-11,""